date,hits,keyword
2009-12-22,5.04901332167931,2015
2009-12-23,4.03921065734345,2015
2009-12-24,5.04901332167931,2015
2009-12-25,4.79656265559535,2015
2009-12-26,4.79656265559535,2015
2009-12-27,7.06861865035104,2015
2009-12-28,5.30146398776328,2015
2009-12-29,6.31126665209914,2015
2009-12-30,5.04901332167931,2015
2009-12-31,6.05881598601518,2015
2010-01-01,7.82597064860294,2015
2010-01-02,6.81616798426707,2015
2010-01-03,6.05881598601518,2015
2010-01-04,4.79656265559535,2015
2010-01-05,5.04901332167931,2015
2010-01-06,4.54411198951138,2015
2010-01-07,6.05881598601518,2015
2010-01-08,4.79656265559535,2015
2010-01-09,4.79656265559535,2015
2010-01-10,5.55391465384725,2015
2010-01-11,7.82597064860294,2015
2010-01-12,7.57351998251897,2015
2010-01-13,6.56371731818311,2015
2010-01-14,8.8357733129388,2015
2010-01-15,6.56371731818311,2015
2010-01-16,3.78675999125949,2015
2010-01-17,6.56371731818311,2015
2010-01-18,8.58332264685483,2015
2010-01-19,6.31126665209914,2015
2010-01-20,6.81616798426707,2015
2010-01-21,6.31126665209914,2015
2010-01-22,6.56371731818311,2015
2010-01-23,5.55391465384725,2015
2010-01-24,5.30146398776328,2015
2010-01-25,5.55391465384725,2015
2010-01-26,7.57351998251897,2015
2010-01-27,7.06861865035104,2015
2010-01-28,5.04901332167931,2015
2010-01-29,6.31126665209914,2015
2010-01-30,4.54411198951138,2015
2010-01-31,4.79656265559535,2015
2010-02-01,5.80636531993121,2015
2010-02-02,7.57351998251897,2015
2010-02-03,9.08822397902277,2015
2010-02-04,7.06861865035104,2015
2010-02-05,6.56371731818311,2015
2010-02-06,7.06861865035104,2015
2010-02-07,6.05881598601518,2015
2010-02-08,6.05881598601518,2015
2010-02-09,6.56371731818311,2015
2010-02-10,6.56371731818311,2015
2010-02-11,6.56371731818311,2015
2010-02-12,7.57351998251897,2015
2010-02-13,4.54411198951138,2015
2010-02-14,7.06861865035104,2015
2010-02-15,8.33087198077087,2015
2010-02-16,8.0784213146869,2015
2010-02-17,6.56371731818311,2015
2010-02-18,7.32106931643501,2015
2010-02-19,5.30146398776328,2015
2010-02-20,5.04901332167931,2015
2010-02-21,7.06861865035104,2015
2010-02-22,7.32106931643501,2015
2010-02-23,8.33087198077087,2015
2010-02-24,7.06861865035104,2015
2010-02-25,7.82597064860294,2015
2010-02-26,5.55391465384725,2015
2010-02-27,6.81616798426707,2015
2010-02-28,5.30146398776328,2015
2010-03-01,4.54411198951138,2015
2010-03-02,6.81616798426707,2015
2010-03-03,8.0784213146869,2015
2010-03-04,8.33087198077087,2015
2010-03-05,6.31126665209914,2015
2010-03-06,5.30146398776328,2015
2010-03-07,6.56371731818311,2015
2010-03-08,7.06861865035104,2015
2010-03-09,7.06861865035104,2015
2010-03-10,6.81616798426707,2015
2010-03-11,5.18035464095366,2015
2010-03-12,6.09453487171018,2015
2010-03-13,5.48508138453916,2015
2010-03-14,5.18035464095366,2015
2010-03-15,7.92289533322324,2015
2010-03-16,6.09453487171018,2015
2010-03-17,6.39926161529569,2015
2010-03-18,6.09453487171018,2015
2010-03-19,7.31344184605222,2015
2010-03-20,6.09453487171018,2015
2010-03-21,5.18035464095366,2015
2010-03-22,7.31344184605222,2015
2010-03-23,6.09453487171018,2015
2010-03-24,7.00871510246671,2015
2010-03-25,5.78980812812467,2015
2010-03-26,30.4726743585509,2015
2010-03-27,18.5883313587161,2015
2010-03-28,6.7039883588812,2015
2010-03-29,6.7039883588812,2015
2010-03-30,8.22762207680874,2015
2010-03-31,5.78980812812467,2015
2010-04-01,5.48508138453916,2015
2010-04-02,4.87562789736815,2015
2010-04-03,4.26617441019713,2015
2010-04-04,5.78980812812467,2015
2010-04-05,5.78980812812467,2015
2010-04-06,6.09453487171018,2015
2010-04-07,6.39926161529569,2015
2010-04-08,6.09453487171018,2015
2010-04-09,7.61816858963773,2015
2010-04-10,5.18035464095366,2015
2010-04-11,5.48508138453916,2015
2010-04-12,8.22762207680874,2015
2010-04-13,6.09453487171018,2015
2010-04-14,7.92289533322324,2015
2010-04-15,6.7039883588812,2015
2010-04-16,6.7039883588812,2015
2010-04-17,4.57090115378264,2015
2010-04-18,5.48508138453916,2015
2010-04-19,7.31344184605222,2015
2010-04-20,8.83707556397976,2015
2010-04-21,7.31344184605222,2015
